freq,unit,iccs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
Annual,Number,Intentional homicide,Steyr-Kirchdorf,2021,2,,
Annual,Number,Intentional homicide,Steyr-Kirchdorf,2022,0,,
Annual,Number,Intentional homicide,Steyr-Kirchdorf,2023,2,,
Annual,Number,Intentional homicide,Traunviertel,2019,2,,
Annual,Number,Intentional homicide,Traunviertel,2020,0,,
Annual,Number,Intentional homicide,Traunviertel,2021,1,,
Annual,Number,Intentional homicide,Traunviertel,2022,1,,
Annual,Number,Intentional homicide,Traunviertel,2023,0,,
Annual,Number,Intentional homicide,Salzburg,2019,5,,
Annual,Number,Intentional homicide,Salzburg,2020,4,,
Annual,Number,Intentional homicide,Salzburg,2021,3,,
Annual,Number,Intentional homicide,Salzburg,2022,6,,
Annual,Number,Intentional homicide,Salzburg,2023,3,,
Annual,Number,Intentional homicide,Lungau,2019,0,,
Annual,Number,Intentional homicide,Lungau,2020,0,,
Annual,Number,Intentional homicide,Lungau,2021,0,,
Annual,Number,Intentional homicide,Lungau,2022,0,,
Annual,Number,Intentional homicide,Lungau,2023,0,,
Annual,Number,Intentional homicide,Pinzgau-Pongau,2019,3,,
Annual,Number,Intentional homicide,Pinzgau-Pongau,2020,2,,
Annual,Number,Intentional homicide,Pinzgau-Pongau,2021,0,,
Annual,Number,Intentional homicide,Pinzgau-Pongau,2022,4,,
Annual,Number,Intentional homicide,Pinzgau-Pongau,2023,0,,
Annual,Number,Intentional homicide,Salzburg und Umgebung,2019,2,,
Annual,Number,Intentional homicide,Salzburg und Umgebung,2020,2,,
Annual,Number,Intentional homicide,Salzburg und Umgebung,2021,3,,
Annual,Number,Intentional homicide,Salzburg und Umgebung,2022,2,,
Annual,Number,Intentional homicide,Salzburg und Umgebung,2023,3,,
Annual,Number,Intentional homicide,Tirol,2019,6,,
Annual,Number,Intentional homicide,Tirol,2020,6,,
Annual,Number,Intentional homicide,Tirol,2021,8,,
Annual,Number,Intentional homicide,Tirol,2022,9,,
Annual,Number,Intentional homicide,Tirol,2023,5,,
Annual,Number,Intentional homicide,AuÃŸerfern,2019,0,,
Annual,Number,Intentional homicide,AuÃŸerfern,2020,0,,
Annual,Number,Intentional homicide,AuÃŸerfern,2021,1,,
Annual,Number,Intentional homicide,AuÃŸerfern,2022,1,,
Annual,Number,Intentional homicide,AuÃŸerfern,2023,0,,
Annual,Number,Intentional homicide,Innsbruck,2019,4,,
Annual,Number,Intentional homicide,Innsbruck,2020,0,,
Annual,Number,Intentional homicide,Innsbruck,2021,3,,
Annual,Number,Intentional homicide,Innsbruck,2022,3,,
Annual,Number,Intentional homicide,Innsbruck,2023,4,,
Annual,Number,Intentional homicide,Osttirol,2019,0,,
Annual,Number,Intentional homicide,Osttirol,2020,0,,
Annual,Number,Intentional homicide,Osttirol,2021,0,,
Annual,Number,Intentional homicide,Osttirol,2022,0,,
